"";"TIPO";"TIPO_INDICE";"CO_ANO";"CO_MES";"CO_CGCE";"INDICE";"NO_CLASSIFICACAO";"NO_TIPO_CLASSIFICACAO";"NO_CGCE"
"1";"EXP";"PRECO";2023;4;"CO_CGCE_N1_2";178,016770310905;"BENS INTERMEDIÁRIOS (BI)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens Intermediários (BI)"
"2";"EXP";"PRECO";2023;4;"CO_CGCE_N1_1";129,546471171123;"BENS DE CAPITAL (BK)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Capital (BK)"
"3";"EXP";"PRECO";2023;4;"CO_CGCE_N1_3";151,0944979825;"BENS DE CONSUMO (BC)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Consumo (BC)"
"4";"EXP";"QUANTUM";2023;4;"CO_CGCE_N1_2";158,36971241942;"BENS INTERMEDIÁRIOS (BI)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens Intermediários (BI)"
"5";"EXP";"QUANTUM";2023;4;"CO_CGCE_N1_1";78,969403974449;"BENS DE CAPITAL (BK)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Capital (BK)"
"6";"EXP";"QUANTUM";2023;4;"CO_CGCE_N1_3";87,4532221802815;"BENS DE CONSUMO (BC)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Consumo (BC)"
"7";"EXP_DESSAZONALIZADA";"QUANTUM";2023;4;"CO_CGCE_N1_2";155,150854608459;"BENS INTERMEDIÁRIOS (BI)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens Intermediários (BI)"
"8";"EXP_DESSAZONALIZADA";"QUANTUM";2023;4;"CO_CGCE_N1_1";94,4822965072505;"BENS DE CAPITAL (BK)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Capital (BK)"
"9";"EXP_DESSAZONALIZADA";"QUANTUM";2023;4;"CO_CGCE_N1_3";95,0701992755873;"BENS DE CONSUMO (BC)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Consumo (BC)"
"10";"IMP";"PRECO";2023;4;"CO_CGCE_N1_2";145,572932936522;"BENS INTERMEDIÁRIOS (BI)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens Intermediários (BI)"
"11";"IMP";"PRECO";2023;4;"CO_CGCE_N1_1";98,112413465023;"BENS DE CAPITAL (BK)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Capital (BK)"
"12";"IMP";"PRECO";2023;4;"CO_CGCE_N1_3";138,507998353927;"BENS DE CONSUMO (BC)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Consumo (BC)"
"13";"IMP";"PRECO";2023;4;"CO_CGCE_N1_4";138,472305678001;"COMBUSTÍVEIS E LUBRIFICANTES";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Combustíveis e Lubrificantes"
"14";"IMP";"QUANTUM";2023;4;"CO_CGCE_N1_2";180,128883642594;"BENS INTERMEDIÁRIOS (BI)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens Intermediários (BI)"
"15";"IMP";"QUANTUM";2023;4;"CO_CGCE_N1_1";235,863197724577;"BENS DE CAPITAL (BK)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Capital (BK)"
"16";"IMP";"QUANTUM";2023;4;"CO_CGCE_N1_3";186,457799932423;"BENS DE CONSUMO (BC)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Consumo (BC)"
"17";"IMP";"QUANTUM";2023;4;"CO_CGCE_N1_4";137,512026737442;"COMBUSTÍVEIS E LUBRIFICANTES";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Combustíveis e Lubrificantes"
"18";"IMP_DESSAZONALIZADA";"QUANTUM";2023;4;"CO_CGCE_N1_2";222,288025068812;"BENS INTERMEDIÁRIOS (BI)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens Intermediários (BI)"
"19";"IMP_DESSAZONALIZADA";"QUANTUM";2023;4;"CO_CGCE_N1_1";294,440586437259;"BENS DE CAPITAL (BK)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Capital (BK)"
"20";"IMP_DESSAZONALIZADA";"QUANTUM";2023;4;"CO_CGCE_N1_3";231,003935251883;"BENS DE CONSUMO (BC)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Consumo (BC)"
"21";"IMP_DESSAZONALIZADA";"QUANTUM";2023;4;"CO_CGCE_N1_4";148,63727350484;"COMBUSTÍVEIS E LUBRIFICANTES";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Combustíveis e Lubrificantes"
"22";"TERMOS_DE_TROCA";"PRECO";2023;4;"CO_CGCE_N1_2";122,286998496163;"BENS INTERMEDIÁRIOS (BI)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens Intermediários (BI)"
"23";"TERMOS_DE_TROCA";"PRECO";2023;4;"CO_CGCE_N1_1";132,038818122954;"BENS DE CAPITAL (BK)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Capital (BK)"
"24";"TERMOS_DE_TROCA";"PRECO";2023;4;"CO_CGCE_N1_3";109,08720057914;"BENS DE CONSUMO (BC)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Consumo (BC)"
"25";"EXP";"PRECO";2023;3;"CO_CGCE_N1_2";179,877158858394;"BENS INTERMEDIÁRIOS (BI)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens Intermediários (BI)"
"26";"EXP";"PRECO";2023;3;"CO_CGCE_N1_1";129,87400412518;"BENS DE CAPITAL (BK)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Capital (BK)"
"27";"EXP";"PRECO";2023;3;"CO_CGCE_N1_3";149,850009588936;"BENS DE CONSUMO (BC)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Consumo (BC)"
"28";"EXP";"QUANTUM";2023;3;"CO_CGCE_N1_2";172,694350945102;"BENS INTERMEDIÁRIOS (BI)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens Intermediários (BI)"
"29";"EXP";"QUANTUM";2023;3;"CO_CGCE_N1_1";94,3717906129237;"BENS DE CAPITAL (BK)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Capital (BK)"
"30";"EXP";"QUANTUM";2023;3;"CO_CGCE_N1_3";98,830078671921;"BENS DE CONSUMO (BC)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Consumo (BC)"
"31";"EXP_DESSAZONALIZADA";"QUANTUM";2023;3;"CO_CGCE_N1_2";154,062590116139;"BENS INTERMEDIÁRIOS (BI)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens Intermediários (BI)"
"32";"EXP_DESSAZONALIZADA";"QUANTUM";2023;3;"CO_CGCE_N1_1";95,4143679283492;"BENS DE CAPITAL (BK)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Capital (BK)"
