"";"TIPO";"TIPO_INDICE";"CO_ANO";"CO_MES";"NO_CLASSIFICACAO";"INDICE"
"1";"EXP";"PRECO";2023;4;"TOTAL";165,463657631328
"2";"EXP";"QUANTUM";2023;4;"TOTAL";143,459757238943
"3";"EXP_DESSAZONALIZADA";"QUANTUM";2023;4;"TOTAL";151,497635800989
"4";"IMP";"PRECO";2023;4;"TOTAL";136,67289927632
"5";"IMP";"QUANTUM";2023;4;"TOTAL";175,808214929156
"6";"IMP_DESSAZONALIZADA";"QUANTUM";2023;4;"TOTAL";214,86599301115
"7";"TERMOS_DE_TROCA";"PRECO";2023;4;"TOTAL";121,065447874051
"8";"EXP";"PRECO";2023;3;"TOTAL";165,835277904584
"9";"EXP";"QUANTUM";2023;3;"TOTAL";173,14971276946
"10";"EXP_DESSAZONALIZADA";"QUANTUM";2023;3;"TOTAL";160,636205838723
"11";"IMP";"PRECO";2023;3;"TOTAL";139,4567370315
"12";"IMP";"QUANTUM";2023;3;"TOTAL";200,874270754444
"13";"IMP_DESSAZONALIZADA";"QUANTUM";2023;3;"TOTAL";193,886870524673
"14";"TERMOS_DE_TROCA";"PRECO";2023;3;"TOTAL";118,915214448999
"15";"EXP";"PRECO";2023;2;"TOTAL";167,517766083251
"16";"EXP";"QUANTUM";2023;2;"TOTAL";105,490969925159
"17";"EXP_DESSAZONALIZADA";"QUANTUM";2023;2;"TOTAL";131,337483870699
"18";"IMP";"PRECO";2023;2;"TOTAL";137,606194070777
"19";"IMP";"QUANTUM";2023;2;"TOTAL";163,595790850513
"20";"IMP_DESSAZONALIZADA";"QUANTUM";2023;2;"TOTAL";194,63221554754
"21";"TERMOS_DE_TROCA";"PRECO";2023;2;"TOTAL";121,737082559735
"22";"EXP";"PRECO";2023;1;"TOTAL";166,215073638782
"23";"EXP";"QUANTUM";2023;1;"TOTAL";119,668500540501
"24";"EXP_DESSAZONALIZADA";"QUANTUM";2023;1;"TOTAL";146,827507742408
"25";"IMP";"PRECO";2023;1;"TOTAL";140,10208177444
"26";"IMP";"QUANTUM";2023;1;"TOTAL";186,976949208917
"27";"IMP_DESSAZONALIZADA";"QUANTUM";2023;1;"TOTAL";187,547200742007
"28";"TERMOS_DE_TROCA";"PRECO";2023;1;"TOTAL";118,638546646569
"29";"EXP";"PRECO";2022;12;"TOTAL";166,022663393579
"30";"EXP";"QUANTUM";2022;12;"TOTAL";138,942209207828
"31";"EXP_DESSAZONALIZADA";"QUANTUM";2022;12;"TOTAL";143,461386503521
"32";"IMP";"PRECO";2022;12;"TOTAL";136,936645676158
"33";"IMP";"QUANTUM";2022;12;"TOTAL";203,575898911652
"34";"IMP_DESSAZONALIZADA";"QUANTUM";2022;12;"TOTAL";211,135262563562
"35";"TERMOS_DE_TROCA";"PRECO";2022;12;"TOTAL";121,2404923268
"36";"EXP";"PRECO";2022;11;"TOTAL";169,948547759132
"37";"EXP";"QUANTUM";2022;11;"TOTAL";142,101881077135
"38";"EXP_DESSAZONALIZADA";"QUANTUM";2022;11;"TOTAL";154,52571754083
"39";"IMP";"PRECO";2022;11;"TOTAL";137,290592930568
"40";"IMP";"QUANTUM";2022;11;"TOTAL";203,079770931401
"41";"IMP_DESSAZONALIZADA";"QUANTUM";2022;11;"TOTAL";204,840860364676
"42";"TERMOS_DE_TROCA";"PRECO";2022;11;"TOTAL";123,787467248451
"43";"EXP";"PRECO";2022;10;"TOTAL";171,401114927164
"44";"EXP";"QUANTUM";2022;10;"TOTAL";137,238082723073
"45";"EXP_DESSAZONALIZADA";"QUANTUM";2022;10;"TOTAL";149,610282840886
"46";"IMP";"PRECO";2022;10;"TOTAL";141,207003488216
"47";"IMP";"QUANTUM";2022;10;"TOTAL";211,202679798496
"48";"IMP_DESSAZONALIZADA";"QUANTUM";2022;10;"TOTAL";217,445788968493
"49";"TERMOS_DE_TROCA";"PRECO";2022;10;"TOTAL";121,382871028396
"50";"EXP";"PRECO";2022;9;"TOTAL";173,180547816745
"51";"EXP";"QUANTUM";2022;9;"TOTAL";144,518582225824
"52";"EXP_DESSAZONALIZADA";"QUANTUM";2022;9;"TOTAL";146,318533536137
"53";"IMP";"PRECO";2022;9;"TOTAL";142,889399791103
"54";"IMP";"QUANTUM";2022;9;"TOTAL";227,912237480166
"55";"IMP_DESSAZONALIZADA";"QUANTUM";2022;9;"TOTAL";222,11329178306
"56";"TERMOS_DE_TROCA";"PRECO";2022;9;"TOTAL";121,19901691093
"57";"EXP";"PRECO";2022;8;"TOTAL";179,85154592596
"58";"EXP";"QUANTUM";2022;8;"TOTAL";149,284591493944
"59";"EXP_DESSAZONALIZADA";"QUANTUM";2022;8;"TOTAL";141,110594401871
"60";"IMP";"PRECO";2022;8;"TOTAL";146,397390249872
"61";"IMP";"QUANTUM";2022;8;"TOTAL";236,501912833366
"62";"IMP_DESSAZONALIZADA";"QUANTUM";2022;8;"TOTAL";223,509050015272
"63";"TERMOS_DE_TROCA";"PRECO";2022;8;"TOTAL";122,851606588743
"64";"EXP";"PRECO";2022;7;"TOTAL";186,507919146408
"65";"EXP";"QUANTUM";2022;7;"TOTAL";139,845155100488
"66";"EXP_DESSAZONALIZADA";"QUANTUM";2022;7;"TOTAL";140,490057624144
"67";"IMP";"PRECO";2022;7;"TOTAL";153,496072248661
"68";"IMP";"QUANTUM";2022;7;"TOTAL";205,908140420727
"69";"IMP_DESSAZONALIZADA";"QUANTUM";2022;7;"TOTAL";216,93084588835
"70";"TERMOS_DE_TROCA";"PRECO";2022;7;"TOTAL";121,506639495158
"71";"EXP";"PRECO";2022;6;"TOTAL";190,645723776918
"72";"EXP";"QUANTUM";2022;6;"TOTAL";149,724686348366
"73";"EXP_DESSAZONALIZADA";"QUANTUM";2022;6;"TOTAL";141,437045405083
"74";"IMP";"PRECO";2022;6;"TOTAL";159,189671787561
"75";"IMP";"QUANTUM";2022;6;"TOTAL";190,629381682796
"76";"IMP_DESSAZONALIZADA";"QUANTUM";2022;6;"TOTAL";205,876125416201
"77";"TERMOS_DE_TROCA";"PRECO";2022;6;"TOTAL";119,760108577481
"78";"EXP";"PRECO";2022;5;"TOTAL";189,782140506294
"79";"EXP";"QUANTUM";2022;5;"TOTAL";135,718560370343
"80";"EXP_DESSAZONALIZADA";"QUANTUM";2022;5;"TOTAL";122,628421068199
"81";"IMP";"PRECO";2022;5;"TOTAL";156,784398356294
"82";"IMP";"QUANTUM";2022;5;"TOTAL";197,472738263281
"83";"IMP_DESSAZONALIZADA";"QUANTUM";2022;5;"TOTAL";201,920125798521
"84";"TERMOS_DE_TROCA";"PRECO";2022;5;"TOTAL";121,046572551825
"85";"EXP";"PRECO";2022;4;"TOTAL";183,32489927563
"86";"EXP";"QUANTUM";2022;4;"TOTAL";138,036229309135
"87";"EXP_DESSAZONALIZADA";"QUANTUM";2022;4;"TOTAL";141,779520746886
"88";"IMP";"PRECO";2022;4;"TOTAL";152,804076856028
"89";"IMP";"QUANTUM";2022;4;"TOTAL";168,811951073341
"90";"IMP_DESSAZONALIZADA";"QUANTUM";2022;4;"TOTAL";198,174694260322
"91";"TERMOS_DE_TROCA";"PRECO";2022;4;"TOTAL";119,973827300668
"92";"EXP";"PRECO";2022;3;"TOTAL";174,253470645567
"93";"EXP";"QUANTUM";2022;3;"TOTAL";147,618807064292
"94";"EXP_DESSAZONALIZADA";"QUANTUM";2022;3;"TOTAL";142,431953950516
"95";"IMP";"PRECO";2022;3;"TOTAL";139,541240234708
"96";"IMP";"QUANTUM";2022;3;"TOTAL";199,700287336998
"97";"IMP_DESSAZONALIZADA";"QUANTUM";2022;3;"TOTAL";200,196333902814
"98";"TERMOS_DE_TROCA";"PRECO";2022;3;"TOTAL";124,875965236136
"99";"EXP";"PRECO";2022;2;"TOTAL";166,778501719218
"100";"EXP";"QUANTUM";2022;2;"TOTAL";123,03692607326
"101";"EXP_DESSAZONALIZADA";"QUANTUM";2022;2;"TOTAL";148,053707873504
"102";"IMP";"PRECO";2022;2;"TOTAL";137,910961907372
"103";"IMP";"QUANTUM";2022;2;"TOTAL";173,766163137769
"104";"IMP_DESSAZONALIZADA";"QUANTUM";2022;2;"TOTAL";196,453832962497
"105";"TERMOS_DE_TROCA";"PRECO";2022;2;"TOTAL";120,932012519233
"106";"EXP";"PRECO";2022;1;"TOTAL";156,936499297581
"107";"EXP";"QUANTUM";2022;1;"TOTAL";111,301255998064
"108";"EXP_DESSAZONALIZADA";"QUANTUM";2022;1;"TOTAL";140,947245210578
"109";"IMP";"PRECO";2022;1;"TOTAL";132,411471977171
"110";"IMP";"QUANTUM";2022;1;"TOTAL";190,178153661647
"111";"IMP_DESSAZONALIZADA";"QUANTUM";2022;1;"TOTAL";197,525494262412
"112";"TERMOS_DE_TROCA";"PRECO";2022;1;"TOTAL";118,521829683034
"113";"EXP";"PRECO";2021;12;"TOTAL";155,302534274715
"114";"EXP";"QUANTUM";2021;12;"TOTAL";137,609019665763
"115";"EXP_DESSAZONALIZADA";"QUANTUM";2021;12;"TOTAL";136,259981199762
"116";"IMP";"PRECO";2021;12;"TOTAL";131,201425171126
"117";"IMP";"QUANTUM";2021;12;"TOTAL";198,470474805394
"118";"IMP_DESSAZONALIZADA";"QUANTUM";2021;12;"TOTAL";197,671782153846
"119";"TERMOS_DE_TROCA";"PRECO";2021;12;"TOTAL";118,369548251595
"120";"EXP";"PRECO";2021;11;"TOTAL";156,681353345636
"121";"EXP";"QUANTUM";2021;11;"TOTAL";114,857861863201
"122";"EXP_DESSAZONALIZADA";"QUANTUM";2021;11;"TOTAL";128,946122969707
"123";"IMP";"PRECO";2021;11;"TOTAL";132,668443374221
"124";"IMP";"QUANTUM";2021;11;"TOTAL";206,284009376741
"125";"IMP_DESSAZONALIZADA";"QUANTUM";2021;11;"TOTAL";218,001918253026
