,ibc_br_sa,icc,pib_12m,energia_industrial,energia_outros,energia_residencial,energia_total,energia_comercial,ic_br,ic_br_agro,ic_br_energia,ic_br_metal,ipc_br,ipc_br_nucleo,ipc_fipe,ipa_m,ipa_og_di_agr,ipa_og_di_ind,igp_10,igp_di,igpm,incc,ipca,ipca_comercializaveis,ipca_livres,ipca_monitorados,ipca_nao_comercializaveis,ipca_dp,ipca_ms,ipca_p55,ipca_ex0,ipca_ex3,ind_bens_k,ind_bens_consumo,ind_bens_cons_duraveis,ind_bens_intermediarios,ind_extrativa,ind_geral,ind_transformacao,ind_semi_nao_duraveis,prod_aco,prod_veic_leves,prod_caminhao,prod_onibus,prod_veiculos,uci_cni,uci_fgv,horas_trabalhadas,base_monetaria,deposito_poupanca,deposito_avista,m1,m2,m3,m4,papel_moeda,pms_auto_pecas,pms_comb_lubr,pms_hiper_alim_beb_fum,pms_hiper_super,pms_moveis_eletro,pms_vest,pms_total,vendas_veiculos,vendas_veic_interno,concessoes,idp_12m,idp,reservas_intern,bp_tc,bp_tc_12mpib,div_liq_spc_externa,div_liq_spc_interna,div_liq_spc_total,div_liq_gov_bc_externa,div_liq_gov_bc_interna,div_liq_gov_bc_total,spc_res_prim_12m,spc_res_prim_corrente,spc_res_prim_12mpib,cambio_real,brlusd,selic,tjlp,ipa_di,embi_br,ir_receita,swaps_di360,juros_ltn,ipca_mensal,ipca_doze_mensal,igpm_doze_mensal,expectativa_igpm_h_1,expectativa_igpm_h_2,expectativa_igpm_h_3,expectativa_igpm_h_4,expectativa_igpm_h_5,expectativa_igpm_h_6,expectativa_igpm_h_7,expectativa_igpm_h_8,expectativa_igpm_h_9,expectativa_igpm_h_10,expectativa_igpm_h_11,expectativa_igpm_h_12,cboe_vix,oil_price,us_tr_10year,us_tr_2year,us_tr_5year_tips,ppic,indice_dolar,bovespa,emergentes,exportacoes,exp_preco,exp_quantum,imp_preco,imp_quantum,seguro desemprego,empregos,FGTS,INSS,juros_ex_ante
2002-12-01,,102.92,1488787.3,10659.0,3833.0,6383.0,24949.0,4074.0,104.56,118.12,69.98,88.39,1.94,1.39,1.83,4.45,3.03,3.18,4.87,2.7,3.75,1.7,2.1,3.28,2.32,1.53,1.14,1.75,1.36,1.74,1.66,1.84,63.2,94.0,91.6,97.8,75.6,92.9,93.9,94.1,128.43,117547.0,4072.0,640.0,122259.0,,79.6,,63694576.0,140895698.0,68053220.0,110334243.0,400341786.0,691107613.0,800035851.0,42281023.0,47.37,94.31,52.78,51.89,32.58,83.48,48.22,145874.0,118851.0,79987.0,16586.6,1502.8,37823.0,-220.4,-1.85,231744.47,660547.37,892291.84,13.27,24.4,37.67,-47524.54,6210.51,-3.19,113.18,3.5333,23.03,10.0,3.14,,8185.507478,30.16,32.2011896551724,1.8344444444444445,12.15952380952381,16.709761904761905,1.121,0.8456521739130435,0.9650000000000001,1.0095238095238095,1.1644999999999999,1.4604761904761905,1.343,1.043,0.9542857142857143,0.9555,0.9061904761904762,0.758095238095238,28.21047619047619,29.46,4.03,1.84,,132.9,104.23285747709728,10840.578947368422,,79.2773620454668,68.3061069062974,66.5377756969272,78.5573365525113,57.9547618803945,,,,,17.999761904761904
2003-01-01,100.44,102.97,1502123.5,10345.0,3839.0,6786.0,25152.0,4182.0,101.45,113.91,70.78,85.31,2.32,1.32,2.19,2.55,1.16,2.64,2.29,2.17,2.33,1.51,2.25,1.73,1.64,3.83,1.53,1.84,1.32,1.71,1.38,1.46,65.4,93.4,94.7,98.1,81.7,93.0,93.6,93.9,126.72,124160.0,6266.0,1782.0,132208.0,81.1,80.6,88.6,60451905.0,141282812.0,58027664.0,94977783.0,391237088.0,696054502.0,810272451.0,36950119.0,47.4,90.06,52.92,52.08,32.9,87.47,47.79,120517.0,103793.0,75751.0,16016.6,904.9,38772.0,34.6,-1.6,227541.09,673311.56,900852.65,12.88,24.69,37.57,-48763.52,-7748.8,-3.25,107.6,3.5258,25.06,11.0,2.21,,8901.340339,27.3,28.1197068965517,1.4807843137254901,11.931136363636364,14.58,0.8759090909090909,0.8731818181818182,0.9931818181818183,1.1428571428571428,1.4036363636363636,1.3066666666666666,0.9831818181818182,0.9690909090909091,0.9277272727272727,0.9036363636363636,0.7704761904761904,0.5766666666666667,27.424285714285713,32.95,4.05,1.74,1.65,135.3,100.82762037004743,11486.227272727272,,79.2890770606704,69.6506897817864,59.7198613579925,76.8089820265023,64.026506726653,,,,,15.64159090909091
2003-02-01,101.97,103.53,1522029.5,10471.0,3823.0,6518.0,24965.0,4153.0,109.05,121.2,78.87,93.36,1.37,0.93,1.61,2.64,1.2,1.91,2.42,1.59,2.28,1.39,1.57,0.79,1.12,2.71,1.54,1.35,0.93,0.69,0.99,0.62,62.7,91.1,85.5,98.7,82.2,92.6,93.2,92.3,125.78,132463.0,6838.0,1828.0,141129.0,80.7,80.3,88.1,65765152.0,140814916.0,57415063.0,93602937.0,393976058.0,706788435.0,815745074.0,36187874.0,48.91,89.82,53.5,52.61,32.85,87.77,48.45,131850.0,109428.0,72155.0,15948.0,788.8,38530.0,-331.7,-1.43,234885.46,682230.87,917116.33,13.14,24.64,37.78,-51066.28,-6958.5,-3.36,114.17,3.5632,25.68,11.0,1.71,,7025.996173,29.44,29.6848321428571,1.1004285714285715,11.00575,13.121,0.8795,1.0,1.146,1.3175000000000001,1.2189999999999999,0.9010526315789474,0.945,0.8878947368421053,0.837,0.7889473684210526,0.6326315789473684,0.5547619047619048,32.21842105263158,35.83,3.9,1.63,1.24,137.6,99.85894735235917,10350.05,,80.2070784007889,70.3177835744431,61.9755453415931,81.4355131537296,62.5754023168451,,,,,18.601
2003-03-01,101.8,101.89,1543732.2,10565.0,3877.0,6618.0,25281.0,4221.0,100.18,110.18,73.63,88.82,1.06,1.07,0.67,1.72,0.32,2.56,1.58,1.66,1.53,1.38,1.23,1.44,1.29,1.08,1.1,1.2,1.23,0.89,1.13,1.36,61.8,92.1,87.7,98.7,81.9,92.6,93.5,92.4,130.61,118866.0,6763.0,1857.0,127486.0,79.9,80.1,90.3,67063149.0,139704831.0,56687240.0,89822584.0,388142457.0,710712013.0,820859498.0,33135343.0,45.04,90.12,52.35,51.38,31.38,88.28,47.12,125166.0,96566.0,74961.0,13844.4,283.7,42335.0,41.3,-1.2,218637.4,683860.08,902497.48,12.06,24.15,36.21,-51462.26,-4621.34,-3.33,109.32,3.3531,26.32,11.0,1.93,,6576.185406,27.62,28.1380866666667,0.7857303370786518,10.162105263157896,11.833421052631579,0.9421052631578947,1.0678947368421052,1.2389473684210526,1.1594736842105262,0.8611111111111112,0.8978947368421052,0.8205555555555555,0.8115789473684211,0.7594444444444445,0.6294736842105263,0.5452631578947368,0.6226315789473684,30.634285714285717,33.51,3.81,1.57,1.09,141.2,99.7509522210984,10917.526315789473,,78.8807463840773,71.8411192667857,63.640974580433,79.6147958107294,62.5710643152292,,,,,17.711315789473684
2003-04-01,101.02,107.66,1564349.5,10850.0,3761.0,6228.0,24787.0,3948.0,90.84,101.84,61.63,78.27,1.12,1.2,0.57,0.8,-0.99,0.48,1.24,0.41,0.92,0.9,0.97,1.11,0.87,1.21,0.58,0.98,1.1,0.81,0.81,0.99,63.9,91.8,88.3,98.4,81.5,92.3,93.0,92.8,130.34,122653.0,6111.0,2019.0,130783.0,79.7,79.9,91.5,70606761.0,138719211.0,54955139.0,87410599.0,385467653.0,712800120.0,823489095.0,32455460.0,48.33,90.54,52.52,51.49,31.73,87.88,47.17,130804.0,102883.0,78879.0,12677.5,796.9,41500.0,-1102.3,-0.99,189727.72,661939.49,851667.19,10.34,22.3,32.64,-55840.39,-11478.36,-3.57,98.57,2.8898,26.32,12.0,0.07,993.0,9123.114412,25.21,25.63649,0.7688073394495413,9.33225,10.4465,0.8799999999999999,1.0965,1.0315789473684212,0.8584210526315791,0.8815,0.8235000000000001,0.793,0.7255,0.6263157894736843,0.5204761904761904,0.5731578947368421,0.603,23.99190476190476,28.17,3.96,1.62,1.36,136.8,99.4047619047619,12086.35,7.924389163653056,80.7310391683798,70.5076531483663,70.9044892196778,77.8512673880234,68.2803647397322,,,,,16.12175
2003-05-01,99.95,112.04,1580855.1,10750.0,3847.0,6354.0,24889.0,3938.0,87.33,96.52,63.09,76.59,0.69,1.05,0.31,-1.11,-3.08,-1.15,0.02,-0.67,-0.26,2.84,0.61,0.95,0.53,0.81,0.0,0.85,1.0,0.63,0.56,0.9,60.2,90.6,84.3,96.2,81.5,91.0,91.6,92.0,133.63,133391.0,6320.0,2146.0,141857.0,79.7,79.2,96.0,67064043.0,138432053.0,53712908.0,86231763.0,388490690.0,721321334.0,833412205.0,32518855.0,45.36,92.13,52.42,51.59,31.81,73.54,46.85,126944.0,101666.0,78749.0,11789.2,541.7,43373.0,717.5,-0.44,194765.21,674096.28,868861.49,10.49,22.79,33.28,-57077.43,-4788.31,-3.61,97.11,2.9656,26.31,12.0,-1.68,821.0,8327.687992,23.29,23.5864433333333,0.6474418604651162,8.449047619047619,8.481190476190475,1.0023809523809524,0.9742857142857143,0.7514285714285714,0.8252380952380953,0.787,0.758095238095238,0.7085,0.5365,0.4809090909090909,0.5385,0.5185714285714286,0.639,20.23952380952381,28.11,3.57,1.42,1.18,136.7,94.43571472167969,13091.47619047619,8.353087606884184,81.4890871232405,70.5864838976446,78.9589095777363,74.9489813665021,68.5056522937034,,,,,14.940238095238094
2003-06-01,100.14,116.81,1595356.7,10788.0,3871.0,6165.0,24535.0,3711.0,83.96,92.05,62.76,74.44,-0.16,0.74,-0.16,-1.67,-1.04,-1.21,-0.59,-0.7,-1.0,1.05,-0.15,0.38,0.2,-1.02,-0.04,0.4,0.87,0.2,0.52,0.81,61.5,91.3,85.7,96.1,76.5,91.3,92.2,92.5,133.86,116584.0,5874.0,2053.0,124511.0,79.4,78.3,92.8,66895234.0,138247439.0,56543028.0,88466315.0,386338027.0,731530105.0,840397699.0,31923287.0,45.43,90.8,52.07,51.1,32.78,79.67,47.12,134294.0,95228.0,74392.0,10444.5,184.4,47956.0,311.7,-0.1,188663.87,679586.07,868249.96,10.07,22.98,33.05,-54578.6,-1603.64,-3.42,95.98,2.872,26.09,12.0,-1.16,,6128.418902,22.29,22.7230896551724,0.7187919463087248,7.814749999999999,7.8705,0.8689473684210527,0.72,0.7885,0.7657894736842106,0.738,0.7078947368421052,0.5515789473684211,0.44761904761904764,0.4789473684210526,0.497,0.6319999999999999,0.868,20.362380952380953,30.66,3.33,1.23,0.91,138.0,93.5414294288272,13491.0,9.107700120835077,79.9767407390873,70.4573178572798,72.4634544156616,77.524656353884,60.6559923885954,,,,,14.584999999999999
2003-07-01,98.9,111.47,1613126.2,10818.0,3900.0,6058.0,24443.0,3667.0,85.02,94.27,59.65,75.29,0.34,0.53,-0.08,-0.75,-0.42,-0.66,-0.73,-0.2,-0.42,0.99,0.2,-0.06,-0.01,0.73,0.05,0.47,0.65,0.37,0.37,0.4,63.6,90.1,86.7,96.1,79.4,90.6,91.4,91.3,133.99,122716.0,6228.0,1986.0,130930.0,78.8,77.6,96.6,69740245.0,138812245.0,54607293.0,87050128.0,388813938.0,749105032.0,856697017.0,32442835.0,46.32,94.8,52.41,51.34,33.7,82.65,47.67,139356.0,108285.0,78797.0,10753.8,1235.3,47645.0,589.7,0.15,194932.96,694050.26,888983.22,10.32,23.56,33.89,-55208.46,-4439.92,-3.42,96.13,2.9655,25.36,12.0,-0.59,780.0,8036.162038,20.92,21.3590451612903,1.261578947368421,6.908695652173913,7.4041304347826085,0.6659090909090909,0.7382608695652174,0.7168181818181818,0.7126086956521739,0.7,0.5226086956521739,0.41956521739130437,0.47043478260869565,0.4865217391304348,0.5454545454545454,0.8004347826086956,0.7931818181818181,19.161363636363635,30.76,3.98,1.47,1.3,137.7,95.6369569197945,13549.90909090909,9.634746985001998,82.5280669974307,71.7432829662331,74.6525265791946,78.022395726841,68.2816086526133,,,,,14.031521739130437
2003-08-01,99.82,109.37,1629693.3,10793.0,3941.0,6175.0,24629.0,3720.0,90.1,99.65,64.23,79.58,0.13,0.45,0.63,0.2,1.77,0.29,0.21,0.62,0.38,1.44,0.34,0.07,0.13,0.86,0.22,0.44,0.58,0.37,0.37,0.34,61.1,91.1,80.7,96.7,81.7,91.9,92.7,91.7,134.5,121775.0,6531.0,2047.0,130353.0,78.8,78.2,94.3,59697058.0,139451139.0,54069043.0,87318737.0,390970738.0,766249499.0,871210770.0,33249694.0,42.2,93.74,52.83,51.81,34.35,86.66,48.08,135272.0,95479.0,73845.0,10843.8,969.3,47793.0,1082.2,0.33,195984.32,708345.22,904329.55,10.24,24.17,34.42,-57937.48,-3954.72,-3.56,98.46,2.9665,23.5,12.0,0.7,853.0,6177.464148,20.75,21.2700225806452,0.7723316062176165,6.516190476190476,7.117380952380953,0.6242857142857142,0.6857142857142857,0.6504761904761904,0.7,0.43,0.37454545454545457,0.409,0.45952380952380956,0.4955,0.7438095238095238,0.7785,0.5895,19.274285714285714,31.57,4.45,1.86,1.48,138.0,97.22857266380673,14008.42857142857,10.00156965709868,78.8566337212561,70.9370040320819,79.5728014653256,77.929469525711,64.3265074157147,,,,,14.338333333333333
2003-09-01,101.65,106.41,1654912.0,10855.0,3985.0,6095.0,24621.0,3686.0,89.66,99.78,62.73,78.0,0.76,0.67,0.84,1.54,3.55,0.4,0.95,1.05,1.18,0.22,0.78,0.67,0.52,1.44,0.31,0.71,0.86,0.75,0.37,0.47,69.0,93.4,97.3,99.9,81.5,94.6,95.3,93.5,128.91,147144.0,6518.0,2239.0,155901.0,79.5,78.9,97.3,58202487.0,139195378.0,55976215.0,88450654.0,392149375.0,779958060.0,888610164.0,32474440.0,49.6,92.69,52.81,51.69,36.33,85.92,48.32,164583.0,118922.0,81086.0,10344.3,737.8,52675.0,1144.1,0.33,193630.16,712132.94,905763.09,9.95,23.96,33.91,-55488.0,-6070.8,-3.35,95.54,2.9234,21.02,12.0,1.29,703.0,6662.566047,18.38,18.8497766666667,0.5966976744186047,6.402727272727273,7.022954545454545,0.6057142857142856,0.5854545454545454,0.6723809523809524,0.4276190476190476,0.358695652173913,0.3947619047619048,0.42636363636363633,0.489047619047619,0.7318181818181819,0.7254545454545455,0.5990909090909091,0.5481818181818182,19.532380952380954,28.31,4.27,1.71,1.29,138.5,95.81909040971236,16094.454545454546,10.620242255074638,77.9151417937025,71.3216343475309,89.2989988722379,79.1608166415891,77.0833587953025,,,,,11.991136363636361
