,0,1,2,3,4,5,igpm
2003-02-01,-49686750.30483306,-5150879.327738308,-8966336.015073666,2789932.1917713378,2365432.350254114,3484569.6997572733,2.28
2003-03-01,-58680650.74960133,88472.79229199282,-4618257.850023544,-324069.85542726156,-301362.55589336157,3298716.6351244035,1.53
2003-04-01,-59704632.98707559,-4399814.246044724,-5455366.59027244,1030905.8552822557,1528040.867246606,2732719.5943676922,0.92
2003-05-01,-48496791.4562477,-4741391.373298325,-3613206.9044115567,-248624.39729760005,-5228027.87360401,824920.1011622876,-0.26
2003-06-01,-50694591.98055188,-3232593.6376515133,-8670962.005519528,-4921908.885216813,-1583890.7171331102,3597309.0798961944,-1.0
2003-07-01,-38975555.99529036,610461.9010166816,-5484350.606986055,298552.4066248056,1228038.5227391245,1020894.5607778291,-0.42
2003-08-01,-40301988.04165702,-250876.73536164913,-5873581.011100585,-3860617.6012243587,-10996439.475405872,-1089211.9396276884,0.38
2003-09-01,-41020846.97550892,-909415.2833221904,-2712639.865781663,-4721175.626416343,-2336299.311988901,2847281.454848826,1.18
2003-10-01,-50708486.52018588,-1739719.8140183168,-10104552.246423062,-1416439.0498992307,-79539.07873667999,1866826.9869497032,0.38
2003-11-01,-22996664.052328,-6050926.277792618,-2654615.0351423416,-6433733.089190269,1614088.0961008195,2739784.289361235,0.49
2003-12-01,-14928069.256822081,-11595265.93946124,-4648279.049112027,-17045443.44550473,603951.4077543055,2673831.453170025,0.61
2004-01-01,-52079464.236708574,10305262.384739406,1077390.0604825327,4858627.503716894,1490664.7408793666,-713098.2230324042,0.88
2004-02-01,-45112407.06999689,-5635986.2674405705,-4118115.7707135533,-2599985.717776263,1577443.210567154,3691932.2207846018,0.69
2004-03-01,-48671681.06579349,-3471995.310596442,-5821834.182339078,5922.749916961897,-5193277.104651747,2160373.7137389574,1.13
2004-04-01,-53102171.15018587,-7248102.80701894,-6095386.46873363,-485412.53637404036,1855218.0163019826,2113296.1885027415,1.21
2004-05-01,-22846254.825012688,-4392463.056815671,-14304610.545504294,3635161.7461501313,-2521422.040654929,1026475.0087452503,1.31
2004-06-01,-44635399.24041607,-9959575.20002904,-2672513.376201402,-45835.142369083456,-198932.3741825928,785879.5615265359,1.38
2004-07-01,-42938154.61356715,-6220085.692042281,-2922904.6588310353,-425539.18282466487,3035520.273915538,136539.0777948352,1.31
2004-08-01,-43643439.621734925,-10201758.046940967,-8310234.258500564,-720692.0370342819,-3855563.990700143,3002757.1561453925,1.22
2004-09-01,-42674238.76311864,-9602539.841744157,-2963458.7472502445,-4533623.771958595,-1638098.9822905178,2410761.1747349165,0.69
2004-10-01,-45050768.9607024,-6819113.726596907,-4263805.211209011,822966.1405288046,-835052.002314563,750411.9948081541,0.39
2004-11-01,-37819568.15949933,-7448209.6974406205,-5465047.036925707,-3200165.187298298,-1146177.1987355067,2176560.2056772057,0.82
2004-12-01,-28145347.113786567,-24373514.401505318,-7198647.072030229,-6557980.602845924,15147.362901084387,-799539.721915874,0.74
2005-01-01,-58947410.57183798,2143287.9626077744,-4623175.767813841,5707863.086454767,681176.5905315414,2239385.2334609283,0.39
2005-02-01,-41696170.078775704,-2067600.9200310165,-2454799.109381303,-1133343.578101159,-1928978.7873965122,2359351.4392782426,0.3
2005-03-01,-31764133.897302706,-2973548.930181444,-2556894.087372741,1691914.6177409492,-873605.1054659913,3077668.7981874407,0.85
