categoria;variavel;acronimo;unidade;fonte_primaria;fonte_direta;code;transformações necessárias
Atividade Econômica;Índice de Atividade Econômica do Banco Central (IBC-Br) - com ajuste sazonal;ibc_br_sa;Índice;BCB;BCB;24364;
Atividade Econômica;Índice de Confiança do Consumidor - Fecomercio;icc;Índice;Fecomercio;BCB;4393;
Atividade Econômica;PIB acumulado dos últimos 12 meses - valores correntes;pib_12m;R$ Milhões;BCB;BCB;4382;
Economia Internacional;CBOE Volatility Index: VIX ;cboe_vix;Índice;CBOE;FRED;VIXCLS;
Economia Internacional;Crude Oil Prices: West Texas Intermediate (WTI) - Cushing, Oklahoma;oil_price;US$/barrel;EIA;FRED;MCOILWTICO;
Economia Internacional;Índice do dólar americano (DXY, média geométrica de 6 moedas em relação a US$);dxy;Índice;ICE Futures;YAHOO;DX-Y.NYB;
Economia Internacional;Market Yield on U.S. Treasury Securities at 10-Year Constant Maturity;us_tr_10year;% a.a.;FED;FRED;GS10;
Economia Internacional;Market Yield on U.S. Treasury Securities at 2-Year Constant Maturity;us_tr_2year;% a.a.;FED;FRED;GS2;
Economia Internacional;Market Yield on U.S. Treasury Securities at 5-Year Constant Maturity, Inflation-Indexed;us_tr_5year_tips;% a.a.;FED;FRED;FII5;
Economia Internacional;Producer Price Index by Commodity: All Commodities;ppic;Índice;BLS;FRED;PPIACO;
Energia;Consumo de energia elétrica - Brasil - Industrial;energia_industrial;GWh;Eletrobras;BCB;1404;
Energia;Consumo de energia elétrica - Brasil - Outros;energia_outros;GWh;Eletrobras;BCB;1405;
Energia;Consumo de energia elétrica - Brasil - Residencial;energia_residencial;GWh;Eletrobras;BCB;1403;
Energia;Consumo de energia elétrica - Brasil - Total;energia_total;GWh;Eletrobras;BCB;1406;
Energia;Consumo de energia elétrica - Comercial;energia_comercial;GWh;Eletrobras;BCB;1402;
Expectativas;IGP-M esperado 12 meses à frente, média mensal;igpm_exp_12m;% a.a.;BCB;Focus/BCB;IGP-M;X
Expectativas;IGP-M mensal, média mensal (* = 0, 1, ..., 12);igpm_exp_t*;% a.m.;BCB;Focus/BCB;IGP-M;X
Expectativas;IPCA esperado 12 meses à frente, média mensal;ipca_exp_12m;% a.a.;BCB;Focus/BCB;IPCA;X
Expectativas;IPCA mensal, média mensal (* = 0, 1, ..., 12);ipca_exp_t*;% a.m.;BCB;Focus/BCB;IPCA;X
Índice de Preços;Índice de Commodities - Brasil (IC-Br);ic_br;Índice;BCB;BCB;27574;
Índice de Preços;Índice de Commodities - Brasil (IC-Br) - Agropecuária;ic_br_agro;Índice;BCB;BCB;27575;
Índice de Preços;Índice de Commodities - Brasil (IC-Br) - Energia;ic_br_energia;Índice;BCB;BCB;27577;
Índice de Preços;Índice de Commodities - Brasil (IC-Br) - Metal;ic_br_metal;Índice;BCB;BCB;27576;
Índice de Preços;Índice de Preços ao Consumidor - Brasil (IPC-Br);ipc_br;% a.m.;FGV;BCB;191;
Índice de Preços;Índice de Preços ao Consumidor - Brasil (IPC-Br) - Núcleo;ipc_br_nucleo;% a.m.;FGV;BCB;4467;
Índice de Preços;Índice de preços ao consumidor - São Paulo (IPC-Fipe);ipc_fipe;% a.m.;FIPE;BCB;193;
Índice de Preços;Índice de Preços ao Produtor Amplo - Disponibilidade Interna (IPA-DI);ipa_di;% a.m.;FGV;IPEADATA;IGP12_IPADIG12;
Índice de Preços;Índice de Preços ao Produtor Amplo - Mercado (IPA-M);ipa_m;% a.m.;FGV;BCB;7450;
Índice de Preços;Índice de Preços ao Produtor Amplo - Origem (IPA-OG-DI) - Produtos agrícolas;ipa_og_di_agr;% a.m.;FGV;BCB;7460;
Índice de Preços;Índice de Preços ao Produtor Amplo - Origem (IPA-OG-DI) - Produtos industriais;ipa_og_di_ind;% a.m.;FGV;BCB;7459;
Índice de Preços;Índice Geral de Preços - 10 (IGP-10);igp_10;% a.m.;FGV;BCB;7447;
Índice de Preços;Índice Geral de Preços - Disponibilidade Interna (IGP-DI);igp_di;% a.m.;FGV;BCB;190;
