,loss,learning_rate,max_features,n_estimators,max_depth,min_samples_leaf,criterio,mean_square_error
42,huber,1.0012107475673229,1,193,13,74,friedman_mse,0.703139943793194
32,squared_error,1.9235388036046417,1,48,19,73,squared_error,0.7031782198673179
9,huber,1.781828508707512,1,233,39,78,friedman_mse,0.703269060283774
27,huber,0.843909298348984,1,75,25,73,friedman_mse,0.7048724658301666
16,huber,1.6403570453452114,1,322,27,78,squared_error,0.705225522872066
43,squared_error,0.5369538567075894,1,342,29,71,friedman_mse,0.7056437056086311
26,huber,1.2058327740554498,1,331,5,76,friedman_mse,0.7056571152742942
72,huber,0.15347230313428806,1,365,2,71,friedman_mse,0.7070783300544597
58,squared_error,0.22268094429141214,1,280,23,84,friedman_mse,0.7081423467873861
74,huber,0.11119318148740073,1,188,29,67,squared_error,0.7087931224998135
73,absolute_error,1.7785015599900507,1,89,38,95,squared_error,0.7094033070646555
6,huber,0.1145928272221781,1,314,25,64,squared_error,0.7106648297947322
97,huber,0.04630181731215171,1,400,23,57,friedman_mse,0.7120261053106137
23,huber,0.48254337784986556,1,473,27,80,squared_error,0.7123266279587339
11,squared_error,0.8146247042209068,1,378,35,80,friedman_mse,0.712911489493485
87,huber,0.8973835033368649,1,270,18,94,squared_error,0.7137329913424336
30,huber,1.5171468215329829,1,105,5,91,friedman_mse,0.7137934675955369
36,huber,0.9432981834197937,1,54,16,93,friedman_mse,0.713861455516574
96,absolute_error,0.032366642171917814,1,99,21,54,friedman_mse,0.7139635001247271
65,absolute_error,1.1646274605412705,1,284,27,88,squared_error,0.7140325018095551
89,squared_error,1.735040303815005,1,140,16,91,friedman_mse,0.714261203272929
44,huber,0.9889633086636775,1,321,27,97,friedman_mse,0.7144462280958339
10,absolute_error,0.3070728287449233,1,393,1,58,squared_error,0.714774199406685
18,squared_error,1.025045534734625,1,427,19,97,friedman_mse,0.7151763384845273
68,absolute_error,0.9925958698903111,1,68,14,91,squared_error,0.7156984661563687
67,squared_error,0.5215880411233139,1,91,13,80,friedman_mse,0.7165402995768602
13,absolute_error,1.593171306599875,1,180,7,90,squared_error,0.7179815120463147
15,absolute_error,0.044113422798047044,1,301,35,65,squared_error,0.718625376190794
51,huber,1.7898893937426692,1,254,5,93,friedman_mse,0.7194586018790721
5,absolute_error,0.3413351219673809,1,202,17,81,squared_error,0.7217565023105679
41,absolute_error,1.666408932847576,1,296,5,84,friedman_mse,0.7225694992704096
24,squared_error,0.8957339266183808,1,24,34,52,friedman_mse,0.723037549944719
57,huber,0.5520004490196473,1,13,14,38,friedman_mse,0.7247861603325886
4,absolute_error,1.2430204151138429,1,380,38,43,friedman_mse,0.7257058993522522
80,absolute_error,0.6588766954356057,1,86,22,63,squared_error,0.7265152562917486
2,squared_error,1.8403243458225267,1,294,20,82,squared_error,0.7267411605977638
48,squared_error,1.8345564514700914,1,256,12,83,friedman_mse,0.7283588338842955
90,huber,0.5143065018034454,1,464,30,48,squared_error,0.7394316380374362
1,huber,1.2961569257076107,1,466,35,64,friedman_mse,0.7460345297649404
19,absolute_error,0.2883655591319006,1,279,11,35,squared_error,0.7512596298366717
94,squared_error,1.1356136495285418,1,59,17,43,friedman_mse,0.7533051928269716
56,absolute_error,0.3834334161205859,1,305,5,35,squared_error,0.7560020421391194
20,huber,1.4906623067882865,1,418,4,52,squared_error,0.7569203460511477
17,absolute_error,0.7277418189735932,1,70,5,31,friedman_mse,0.760682463497899
84,squared_error,1.3264959808446437,1,320,15,63,squared_error,0.7613035280581146
70,squared_error,0.43013727214641956,1,103,2,24,squared_error,0.7729347221644955
75,huber,0.42970104356427424,1,475,1,28,squared_error,0.7854232259118586
12,huber,0.3443217035373787,1,50,4,17,squared_error,0.7980210813823069
76,squared_error,0.6830579615342279,1,407,10,29,friedman_mse,0.7994337151221488
60,squared_error,1.3043736704642357,1,306,20,35,squared_error,0.816760168857698
66,squared_error,0.5457563158554729,1,123,32,19,friedman_mse,0.8186614763144344
46,huber,1.0094677487598127,1,460,35,32,friedman_mse,0.8294817459976797
61,absolute_error,0.5069338837790855,1,304,27,9,friedman_mse,0.8310453684945751
37,absolute_error,0.14814810258485328,1,242,39,2,squared_error,0.841886011131739
78,absolute_error,1.1382919392082402,1,247,18,14,squared_error,0.8472082192525573
85,huber,1.6444662600923925,1,396,37,33,squared_error,0.8768452265914096
53,quantile,0.06181452415617704,1,427,18,9,squared_error,0.8813782789770146
29,huber,1.0820379593083673,1,63,9,12,squared_error,0.8850576354623497
0,huber,1.3605548976732469,1,106,16,23,squared_error,0.8964102327308947
47,huber,0.6280739997114068,1,434,27,4,friedman_mse,0.9011495885265053
86,absolute_error,1.553161932452286,1,58,17,22,friedman_mse,0.9042564540748351
35,quantile,0.45607052172690593,1,240,26,12,friedman_mse,0.9128591986280433
64,squared_error,1.5871418675614075,1,291,38,28,squared_error,0.9289558633950581
62,quantile,0.3784065363996778,1,424,27,21,squared_error,0.9315631070227134
