,criterion,max_features,n_estimators,max_depth,min_samples_leaf,mean_square_error
166,friedman_mse,5,10,23,25,0.7157623100975352
5,absolute_error,5,44,9,35,0.7164674517858064
24,absolute_error,5,43,13,35,0.7165411704551454
1,absolute_error,5,16,6,31,0.7168736753197369
161,absolute_error,4,57,33,36,0.7175783777749535
121,squared_error,5,7,2,23,0.7183381661314364
129,friedman_mse,4,19,37,43,0.7189488153158051
94,absolute_error,5,54,34,38,0.7190907297887981
141,absolute_error,2,86,30,32,0.7193250155042215
172,friedman_mse,5,65,29,34,0.7193502824835996
174,squared_error,4,12,12,39,0.7197408256824774
3,absolute_error,3,85,30,28,0.7198614982508577
68,friedman_mse,5,66,11,32,0.7202631400693695
156,squared_error,3,70,37,31,0.720351642072735
169,squared_error,4,62,24,37,0.7203607196689101
111,absolute_error,5,81,1,47,0.7204488819476724
185,absolute_error,3,94,12,28,0.7204628889526978
43,absolute_error,5,80,8,43,0.7204804544229212
164,absolute_error,5,53,14,42,0.7204946143520298
134,squared_error,3,65,22,31,0.7205057905147161
85,absolute_error,2,85,28,42,0.720654366222724
14,squared_error,2,15,3,48,0.72078520811095
34,squared_error,5,20,19,51,0.720884295070816
66,friedman_mse,5,79,12,44,0.7209740122017032
152,absolute_error,5,68,19,43,0.7209769554217837
15,absolute_error,1,85,12,36,0.7210450065016046
105,absolute_error,2,32,10,33,0.721105506070662
45,friedman_mse,4,29,18,40,0.7212048475135415
191,absolute_error,1,95,13,27,0.7212324125452784
171,friedman_mse,5,77,38,45,0.7213146822720242
175,squared_error,2,41,11,37,0.7213207232516051
184,absolute_error,2,34,11,38,0.7214351051119043
114,absolute_error,1,45,25,53,0.7215457987198455
20,absolute_error,1,52,17,47,0.7215709105853656
137,friedman_mse,4,96,15,53,0.7216049110875249
29,squared_error,5,50,22,46,0.7216133441571545
54,squared_error,3,49,26,48,0.7216339175225384
154,squared_error,3,38,8,52,0.7217568162383946
50,absolute_error,5,20,25,50,0.7219245639390952
158,squared_error,2,71,11,41,0.721947911712536
73,absolute_error,5,95,29,49,0.7219646776389566
116,friedman_mse,5,41,1,43,0.7219912558640079
52,absolute_error,2,41,35,38,0.7219936245178993
195,squared_error,4,46,31,42,0.7220181330337387
90,friedman_mse,4,66,19,53,0.7221128407664343
100,friedman_mse,3,49,4,47,0.7221624640509106
165,absolute_error,3,91,10,52,0.7222269205335777
199,friedman_mse,1,42,24,48,0.7222591927053573
144,absolute_error,5,55,6,30,0.7223122507846029
119,absolute_error,3,61,13,40,0.722353832433995
173,squared_error,2,97,3,50,0.7223721456471178
37,absolute_error,1,94,23,61,0.7223886223951068
76,absolute_error,4,46,21,59,0.7224408792996299
143,squared_error,1,34,16,44,0.7224409513847488
198,squared_error,1,98,6,54,0.7224439481121715
