iter	Passed	Remaining
0	0	154
1	0	133
2	1	119
3	1	112
4	1	107
5	2	105
6	2	105
7	3	110
8	3	109
9	3	108
10	4	110
11	4	109
12	4	108
13	5	107
14	5	107
15	6	106
16	6	107
17	6	105
18	7	104
19	7	102
20	7	102
21	8	101
22	8	101
23	8	102
24	9	102
25	9	102
26	10	101
27	10	102
28	10	102
29	11	101
30	11	101
31	11	100
32	12	99
33	12	99
34	12	98
35	13	97
36	13	96
37	14	97
38	14	96
39	14	96
40	15	95
41	15	95
42	15	95
43	16	94
44	16	94
45	16	93
46	17	92
47	17	91
48	17	91
49	18	90
50	18	89
51	18	89
52	19	89
53	19	89
54	20	89
55	20	89
56	20	88
57	21	88
58	21	88
59	21	87
60	22	87
61	22	87
62	22	86
63	23	86
64	23	85
65	24	85
66	24	84
67	24	84
68	25	83
69	25	83
70	25	83
71	26	82
72	26	82
73	26	81
74	27	81
75	27	81
76	27	80
77	28	80
78	28	79
79	28	79
80	29	78
81	29	78
82	29	77
83	30	77
84	30	77
85	30	76
86	31	76
87	31	76
88	32	76
89	32	75
90	32	75
91	33	75
92	33	74
93	34	74
94	34	74
95	34	73
96	35	73
97	35	73
98	35	72
99	36	72
100	36	72
101	37	72
102	37	71
103	37	71
104	38	70
105	38	70
106	38	70
107	39	69
108	39	69
109	39	69
110	40	68
111	40	68
112	41	67
113	41	67
114	41	67
115	42	66
116	42	66
117	42	65
118	43	65
119	43	64
120	43	64
121	43	64
122	44	63
123	44	63
124	44	62
125	45	62
126	45	61
127	45	61
128	45	60
129	46	60
130	46	60
131	47	59
132	47	59
133	47	59
134	48	58
135	48	58
136	48	58
137	49	57
138	49	57
139	49	57
140	50	56
141	50	56
142	51	56
143	51	55
144	51	55
145	52	55
146	52	54
147	53	54
148	53	54
149	53	53
150	54	53
151	54	53
152	55	52
153	55	52
154	55	52
155	56	51
156	56	51
157	56	51
158	57	50
159	57	50
160	57	49
161	58	49
162	58	49
163	58	48
164	59	48
165	59	48
166	60	47
167	60	47
168	60	47
169	60	46
170	61	46
171	61	45
172	61	45
173	62	45
174	62	44
175	63	44
176	63	44
177	64	43
178	64	43
179	64	43
180	65	42
181	65	42
182	66	42
183	66	41
184	66	41
185	67	41
186	67	40
187	68	40
188	68	40
189	68	39
190	69	39
191	69	39
192	70	38
193	70	38
194	71	38
195	71	38
196	72	37
197	72	37
198	73	37
199	73	36
200	74	36
201	75	36
202	75	36
203	76	35
204	76	35
205	77	35
206	77	34
207	78	34
208	78	34
209	79	33
210	79	33
211	80	33
212	80	32
213	80	32
214	81	32
215	81	31
216	82	31
217	82	30
218	82	30
219	83	30
220	83	29
221	84	29
222	84	29
223	85	28
224	85	28
225	85	28
226	86	27
227	86	27
228	87	27
229	87	26
230	87	26
231	88	25
232	88	25
233	88	25
234	89	24
235	89	24
236	89	23
237	90	23
238	90	23
239	91	22
240	91	22
241	91	22
242	92	21
243	92	21
244	92	20
245	93	20
246	93	20
247	93	19
248	93	19
249	94	18
250	94	18
251	95	18
252	95	17
253	95	17
254	96	16
255	96	16
256	96	16
257	97	15
258	97	15
259	97	15
260	98	14
261	98	14
262	98	13
263	99	13
264	99	13
265	100	12
266	100	12
267	100	12
268	101	11
269	101	11
270	101	10
271	101	10
272	102	10
273	102	9
274	102	9
275	103	8
276	103	8
277	103	8
278	104	7
279	104	7
280	104	7
281	105	6
282	105	6
283	105	5
284	106	5
285	106	5
286	107	4
287	107	4
288	107	4
289	108	3
290	108	3
291	108	2
292	109	2
293	109	2
294	109	1
295	109	1
296	110	1
297	110	0
298	111	0
299	111	0
