iter	RMSE
0	0.1887898035
1	0.143077004
2	0.1065508627
3	0.07777977733
4	0.05800657292
5	0.04502592152
6	0.03278366937
7	0.02353555592
8	0.01773876704
9	0.01252588473
10	0.009090617832
11	0.006836325942
12	0.005227121243
13	0.003919737458
14	0.002897424578
15	0.001946459731
16	0.001316960588
17	0.0009875523349
18	0.000754222963
19	0.0005733548975
20	0.0004284204195
21	0.0003122821291
22	0.000234071211
23	0.0001579918373
24	0.0001144805862
25	8.538318465e-05
26	6.052397804e-05
27	4.564748701e-05
28	3.196559237e-05
29	2.411830184e-05
30	1.801782717e-05
31	1.419712788e-05
32	1.086782791e-05
33	8.11699014e-06
34	6.085834049e-06
35	5.478040619e-06
36	4.134979771e-06
37	3.2540735e-06
38	2.311575182e-06
39	1.73980879e-06
40	1.256124687e-06
41	8.778333172e-07
42	6.654815461e-07
43	5.849111146e-07
44	4.497031694e-07
45	3.466961099e-07
46	2.357105921e-07
47	1.768517528e-07
48	1.297172747e-07
49	9.84857784e-08
50	6.944228077e-08
51	5.103042741e-08
52	3.564547183e-08
53	2.490563974e-08
54	2.214271624e-08
55	1.786872569e-08
56	1.356488762e-08
57	9.621720756e-09
58	7.208625212e-09
59	5.349863803e-09
60	3.704559348e-09
61	2.786082978e-09
62	2.075653888e-09
63	1.756351604e-09
64	1.545642472e-09
65	1.147505728e-09
66	8.627866084e-10
67	6.448902945e-10
68	4.74119797e-10
69	3.646714976e-10
70	3.078985487e-10
71	1.962964437e-10
72	1.389862118e-10
73	1.005760769e-10
74	7.769476948e-11
75	5.999621503e-11
76	4.481406473e-11
77	3.256521916e-11
78	2.605965724e-11
79	1.904005554e-11
80	1.66623257e-11
81	1.24981672e-11
82	9.292868952e-12
83	7.096056715e-12
84	5.30619731e-12
85	3.913744161e-12
86	2.916138804e-12
87	2.18859494e-12
88	1.631308889e-12
89	1.215685283e-12
90	9.03102002e-13
91	6.875138107e-13
92	5.161414133e-13
93	3.862319869e-13
94	2.936873879e-13
95	2.207090465e-13
96	1.573555262e-13
97	1.19292179e-13
98	8.37672109e-14
99	6.199700474e-14
100	4.54514393e-14
101	3.551766739e-14
102	2.494894054e-14
103	2.051817112e-14
104	1.527993305e-14
105	1.154474568e-14
106	8.443936725e-15
107	6.04570847e-15
108	4.520792566e-15
109	3.642594175e-15
110	2.776803853e-15
111	1.976094759e-15
112	1.403941371e-15
113	1.03267835e-15
114	9.375458285e-16
115	7.146867618e-16
116	5.088100416e-16
117	4.504547423e-16
118	3.425729289e-16
119	2.659109622e-16
120	1.933826836e-16
121	1.667387506e-16
122	1.244995783e-16
123	1.033592808e-16
124	9.649801091e-17
125	9.455564239e-17
126	7.594553673e-17
127	7.496487934e-17
128	7.354112551e-17
129	7.148829558e-17
130	7.03633047e-17
131	7.025784621e-17
132	6.934070963e-17
133	6.888891836e-17
134	6.37134372e-17
135	6.366328271e-17
136	6.313062059e-17
137	6.239755845e-17
138	6.235483686e-17
139	6.217330488e-17
140	6.267219129e-17
141	6.290677996e-17
142	6.289699766e-17
143	6.240268077e-17
144	6.240267515e-17
145	6.215950122e-17
146	6.19106021e-17
147	6.064790478e-17
148	6.064728911e-17
149	6.090254365e-17
150	6.090563011e-17
151	6.114085991e-17
152	6.114119986e-17
153	6.095249387e-17
154	6.120537162e-17
155	6.11449887e-17
156	6.171503422e-17
157	6.151791014e-17
158	6.132209574e-17
159	6.094390642e-17
160	6.101882346e-17
161	6.101865867e-17
162	6.152129068e-17
163	6.159184802e-17
164	6.159335507e-17
165	6.140375629e-17
166	6.140987474e-17
167	6.129000669e-17
168	5.337095855e-17
169	5.342591446e-17
170	5.328070289e-17
171	5.328685461e-17
172	5.334489542e-17
173	5.334554205e-17
174	5.334212272e-17
175	5.336058622e-17
176	5.335310392e-17
177	5.392489619e-17
178	5.392464647e-17
179	5.392441906e-17
180	5.392241466e-17
181	5.363557274e-17
182	5.349140598e-17
183	5.348981688e-17
184	5.348895284e-17
185	5.34876367e-17
186	5.356045285e-17
187	5.356253033e-17
188	5.356603687e-17
189	5.35663963e-17
190	5.385277869e-17
191	5.385771316e-17
192	5.385810908e-17
193	5.385849308e-17
194	5.385889948e-17
195	5.385616388e-17
196	5.386250467e-17
197	5.386313003e-17
198	5.38637384e-17
199	5.393586388e-17
200	5.393452495e-17
201	5.393578936e-17
202	5.39467996e-17
203	5.394685482e-17
204	5.394835873e-17
205	5.39469119e-17
206	5.394841835e-17
207	5.394678604e-17
208	5.394544007e-17
209	5.386654957e-17
210	5.393283172e-17
211	5.422332221e-17
212	5.429309451e-17
213	5.429373604e-17
214	5.429440878e-17
215	5.377997852e-17
216	5.380130231e-17
217	5.351413726e-17
218	5.351411442e-17
219	5.350853911e-17
220	5.349005528e-17
221	5.348474745e-17
222	5.348067518e-17
223	5.347873733e-17
224	5.376570895e-17
225	5.373001781e-17
226	5.346342686e-17
227	5.347482528e-17
228	5.34744699e-17
229	5.317402198e-17
230	5.317381753e-17
231	5.317363713e-17
232	5.316365872e-17
233	5.31550539e-17
234	5.315507508e-17
235	5.315511879e-17
236	5.308254375e-17
237	5.307688214e-17
238	5.307697698e-17
239	5.307699119e-17
240	5.30771785e-17
241	5.393460641e-17
242	5.388183743e-17
243	5.387149094e-17
244	5.387147688e-17
245	5.387151278e-17
246	5.38688975e-17
247	5.386895151e-17
248	5.38692602e-17
249	5.386906957e-17
250	5.386891684e-17
251	5.380212833e-17
252	5.38020836e-17
253	5.379990018e-17
254	5.452443794e-17
255	5.423743642e-17
256	5.425111992e-17
