iter	Passed	Remaining
0	3	363
1	7	344
2	10	330
3	13	322
4	16	315
5	19	307
6	22	300
7	25	296
8	28	290
9	31	287
10	35	284
11	38	279
12	41	275
13	44	271
14	47	269
15	50	267
16	54	263
17	57	261
18	60	257
19	63	254
20	66	251
21	70	248
22	73	245
23	76	241
24	79	237
25	82	233
26	85	230
27	88	226
28	91	224
29	94	221
30	98	219
31	101	215
32	104	212
33	107	209
34	110	205
35	114	202
36	117	199
37	120	196
38	123	192
39	126	189
40	129	186
41	132	183
42	135	179
43	138	176
44	141	173
45	144	169
46	148	167
47	151	163
48	154	160
49	157	157
50	161	154
51	164	151
52	167	148
53	170	145
54	174	142
55	177	139
56	180	136
57	183	132
58	186	129
59	189	126
60	192	123
61	195	120
62	199	117
63	202	113
64	205	110
65	209	107
66	212	104
67	216	101
68	219	98
69	222	95
70	225	92
71	229	89
72	232	85
73	235	82
74	238	79
75	241	76
76	244	73
77	247	69
78	251	66
79	254	63
80	257	60
81	260	57
82	264	54
83	267	50
84	271	47
85	274	44
86	277	41
87	280	38
88	283	35
89	287	31
90	290	28
91	293	25
92	296	22
93	300	19
94	303	15
95	306	12
96	309	9
97	313	6
98	316	3
99	319	0
