Date,selic,IPCA-EX2,IPCA-EX3,IPCA-MS,IPCA-MA,IPCA-EX0,IPCA-EX1,IPCA-DP
2000-01-01,18.94,0.42,0.33,0.48,,0.56,0.63,0.47
2000-02-01,18.87,0.17,0.21,0.44,,0.45,0.32,0.32
2000-03-01,18.85,-0.11,-0.03,0.37,,0.05,0.16,0.21
2000-04-01,18.62,0.16,0.22,0.45,,0.87,0.62,0.6
2000-05-01,18.51,0.12,0.16,0.35,,0.2,0.19,0.18
2000-06-01,18.04,0.34,0.36,0.42,,0.3,0.31,0.28
2000-07-01,16.85,0.19,0.12,0.58,,0.26,0.82,0.84
2000-08-01,16.52,0.37,0.38,0.58,,0.34,0.43,0.72
2000-09-01,16.56,0.29,0.28,0.4,,0.23,0.26,0.24
2000-10-01,16.6,0.24,0.22,0.4,,0.23,0.22,0.18
2000-11-01,16.51,0.21,0.18,0.3,,0.13,0.29,0.24
2000-12-01,16.19,0.11,0.24,0.36,,0.2,0.3,0.44
2001-01-01,15.49,0.33,0.35,0.41,0.35,0.37,0.52,0.47
2001-02-01,15.2,0.34,0.38,0.52,0.35,0.58,0.63,0.55
2001-03-01,15.39,0.31,0.32,0.57,0.29,0.28,0.27,0.36
2001-04-01,16.02,0.4,0.31,0.46,0.32,0.4,0.44,0.44
2001-05-01,16.43,0.49,0.42,0.6,0.48,0.38,0.5,0.51
2001-06-01,17.28,0.45,0.38,0.73,0.54,0.27,0.74,0.79
2001-07-01,18.57,0.75,0.62,0.65,0.87,0.6,1.21,1.08
2001-08-01,19.0,0.69,0.56,0.56,0.6,0.52,0.72,0.7
2001-09-01,19.06,0.46,0.46,0.57,0.3,0.23,0.39,0.4
2001-10-01,19.06,0.41,0.39,0.57,0.43,0.5,0.48,0.56
2001-11-01,19.05,0.75,0.61,0.77,0.54,0.6,0.67,0.63
2001-12-01,19.05,0.86,0.92,0.78,0.57,0.77,0.77,0.72
2002-01-01,19.05,0.44,0.44,0.52,0.48,0.49,0.74,0.57
2002-02-01,18.97,0.42,0.46,0.54,0.44,0.83,0.73,0.52
2002-03-01,18.72,0.51,0.54,0.58,0.47,0.43,0.52,0.53
2002-04-01,18.38,0.5,0.53,0.56,0.49,0.51,0.5,0.52
2002-05-01,18.37,0.38,0.53,0.51,0.35,0.52,0.47,0.4
2002-06-01,18.1,0.29,0.31,0.4,0.2,0.16,0.37,0.38
2002-07-01,18.17,0.69,0.56,0.51,0.58,0.49,1.13,0.86
2002-08-01,17.84,0.8,0.48,0.65,0.57,0.4,0.73,0.7
2002-09-01,17.89,0.88,0.69,0.78,0.57,0.61,0.67,0.66
2002-10-01,19.59,1.05,0.73,0.78,0.87,0.74,0.95,0.97
2002-11-01,21.25,1.7,1.21,1.32,1.7,1.17,1.57,1.95
2002-12-01,23.03,2.01,1.84,1.36,1.48,1.66,1.65,1.75
2003-01-01,25.06,1.5,1.46,1.32,1.69,1.38,1.71,1.84
2003-02-01,25.68,0.78,0.62,0.93,1.0,0.99,1.47,1.35
2003-03-01,26.32,1.38,1.36,1.23,0.97,1.13,1.22,1.2
2003-04-01,26.32,1.01,0.99,1.1,0.86,0.81,1.06,0.98
2003-05-01,26.31,0.89,0.9,1.0,0.64,0.56,0.99,0.85
2003-06-01,26.09,0.77,0.81,0.87,0.39,0.52,0.47,0.4
2003-07-01,25.36,0.31,0.4,0.65,0.4,0.37,0.75,0.47
2003-08-01,23.5,0.23,0.34,0.58,0.35,0.37,0.49,0.44
2003-09-01,21.02,0.46,0.47,0.86,0.6,0.37,0.67,0.71
2003-10-01,19.54,0.5,0.57,0.77,0.29,0.37,0.34,0.38
2003-11-01,18.31,0.41,0.47,0.56,0.31,0.38,0.45,0.47
2003-12-01,16.91,0.6,0.61,0.72,0.54,0.63,0.6,0.58
2004-01-01,16.32,0.62,0.6,0.73,0.63,0.64,0.7,0.7
2004-02-01,16.3,0.24,0.25,0.48,0.28,1.0,0.77,0.62
2004-03-01,16.19,0.64,0.58,0.76,0.65,0.85,0.8,0.71
2004-04-01,15.96,0.62,0.82,0.57,0.45,0.72,0.59,0.52
2004-05-01,15.77,0.76,0.86,0.59,0.43,0.7,0.55,0.53
2004-06-01,15.8,0.62,0.6,0.6,0.48,0.53,0.49,0.6
2004-07-01,15.77,0.57,0.53,0.55,0.59,0.46,0.85,0.73
2004-08-01,15.86,0.46,0.49,0.55,0.53,0.56,0.52,0.61
2004-09-01,16.09,0.41,0.39,0.56,0.38,0.41,0.53,0.48
2004-10-01,16.41,0.5,0.55,0.6,0.55,0.55,0.51,0.55
2004-11-01,16.96,0.53,0.61,0.62,0.57,0.57,0.56,0.6
2004-12-01,17.5,0.64,0.71,0.67,0.66,0.67,0.62,0.79
2005-01-01,17.93,0.57,0.52,0.66,0.59,0.56,0.62,0.65
2005-02-01,18.47,0.52,0.47,0.6,0.43,0.93,0.8,0.65
2005-03-01,18.97,0.43,0.46,0.62,0.49,0.41,0.7,0.76
2005-04-01,19.32,0.84,0.81,0.7,0.7,0.71,0.92,0.79
2005-05-01,19.61,0.83,0.73,0.65,0.46,0.57,0.68,0.56
2005-06-01,19.75,0.29,0.34,0.49,0.26,0.36,0.34,0.3
2005-07-01,19.72,0.29,0.37,0.45,0.31,0.37,0.47,0.36
2005-08-01,19.75,0.15,0.18,0.36,0.28,0.26,0.37,0.32
2005-09-01,19.61,0.22,0.29,0.51,0.34,0.3,0.3,0.39
2005-10-01,19.25,0.36,0.41,0.58,0.5,0.38,0.47,0.6
2005-11-01,18.87,0.39,0.41,0.51,0.49,0.27,0.41,0.47
2005-12-01,18.24,0.37,0.45,0.43,0.33,0.3,0.31,0.32
2006-01-01,17.65,0.51,0.6,0.61,0.61,0.87,0.54,0.65
2006-02-01,17.28,0.25,0.27,0.49,0.42,0.71,0.52,0.39
2006-03-01,16.74,0.18,0.2,0.45,0.3,0.53,0.23,0.29
2006-04-01,16.19,0.27,0.45,0.41,0.19,0.22,0.3,0.24
2006-05-01,15.7,0.35,0.44,0.47,0.24,-0.03,0.3,0.26
