data,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Mês (Código),Mês,Variável (Código),Variável,data
1979-12-01,1,Brasil,,,,1,Brasil,197912,dezembro 1979,63,IPCA - Variação mensal,1979-12-01
1980-01-01,1,Brasil,2,%,6.62,1,Brasil,198001,janeiro 1980,63,IPCA - Variação mensal,1980-01-01
1980-02-01,1,Brasil,2,%,4.62,1,Brasil,198002,fevereiro 1980,63,IPCA - Variação mensal,1980-02-01
1980-03-01,1,Brasil,2,%,6.04,1,Brasil,198003,março 1980,63,IPCA - Variação mensal,1980-03-01
1980-04-01,1,Brasil,2,%,5.29,1,Brasil,198004,abril 1980,63,IPCA - Variação mensal,1980-04-01
1980-05-01,1,Brasil,2,%,5.7,1,Brasil,198005,maio 1980,63,IPCA - Variação mensal,1980-05-01
1980-06-01,1,Brasil,2,%,5.31,1,Brasil,198006,junho 1980,63,IPCA - Variação mensal,1980-06-01
1980-07-01,1,Brasil,2,%,5.55,1,Brasil,198007,julho 1980,63,IPCA - Variação mensal,1980-07-01
1980-08-01,1,Brasil,2,%,4.95,1,Brasil,198008,agosto 1980,63,IPCA - Variação mensal,1980-08-01
1980-09-01,1,Brasil,2,%,4.23,1,Brasil,198009,setembro 1980,63,IPCA - Variação mensal,1980-09-01
1980-10-01,1,Brasil,2,%,9.48,1,Brasil,198010,outubro 1980,63,IPCA - Variação mensal,1980-10-01
1980-11-01,1,Brasil,2,%,6.67,1,Brasil,198011,novembro 1980,63,IPCA - Variação mensal,1980-11-01
1980-12-01,1,Brasil,2,%,6.61,1,Brasil,198012,dezembro 1980,63,IPCA - Variação mensal,1980-12-01
1981-01-01,1,Brasil,2,%,6.84,1,Brasil,198101,janeiro 1981,63,IPCA - Variação mensal,1981-01-01
1981-02-01,1,Brasil,2,%,6.4,1,Brasil,198102,fevereiro 1981,63,IPCA - Variação mensal,1981-02-01
1981-03-01,1,Brasil,2,%,4.97,1,Brasil,198103,março 1981,63,IPCA - Variação mensal,1981-03-01
1981-04-01,1,Brasil,2,%,6.46,1,Brasil,198104,abril 1981,63,IPCA - Variação mensal,1981-04-01
1981-05-01,1,Brasil,2,%,5.56,1,Brasil,198105,maio 1981,63,IPCA - Variação mensal,1981-05-01
1981-06-01,1,Brasil,2,%,5.52,1,Brasil,198106,junho 1981,63,IPCA - Variação mensal,1981-06-01
1981-07-01,1,Brasil,2,%,6.26,1,Brasil,198107,julho 1981,63,IPCA - Variação mensal,1981-07-01
1981-08-01,1,Brasil,2,%,5.5,1,Brasil,198108,agosto 1981,63,IPCA - Variação mensal,1981-08-01
1981-09-01,1,Brasil,2,%,5.26,1,Brasil,198109,setembro 1981,63,IPCA - Variação mensal,1981-09-01
1981-10-01,1,Brasil,2,%,5.08,1,Brasil,198110,outubro 1981,63,IPCA - Variação mensal,1981-10-01
1981-11-01,1,Brasil,2,%,5.27,1,Brasil,198111,novembro 1981,63,IPCA - Variação mensal,1981-11-01
1981-12-01,1,Brasil,2,%,5.93,1,Brasil,198112,dezembro 1981,63,IPCA - Variação mensal,1981-12-01
1982-01-01,1,Brasil,2,%,6.97,1,Brasil,198201,janeiro 1982,63,IPCA - Variação mensal,1982-01-01
1982-02-01,1,Brasil,2,%,6.64,1,Brasil,198202,fevereiro 1982,63,IPCA - Variação mensal,1982-02-01
1982-03-01,1,Brasil,2,%,5.71,1,Brasil,198203,março 1982,63,IPCA - Variação mensal,1982-03-01
1982-04-01,1,Brasil,2,%,5.89,1,Brasil,198204,abril 1982,63,IPCA - Variação mensal,1982-04-01
1982-05-01,1,Brasil,2,%,6.66,1,Brasil,198205,maio 1982,63,IPCA - Variação mensal,1982-05-01
1982-06-01,1,Brasil,2,%,7.1,1,Brasil,198206,junho 1982,63,IPCA - Variação mensal,1982-06-01
1982-07-01,1,Brasil,2,%,6.36,1,Brasil,198207,julho 1982,63,IPCA - Variação mensal,1982-07-01
1982-08-01,1,Brasil,2,%,5.97,1,Brasil,198208,agosto 1982,63,IPCA - Variação mensal,1982-08-01
1982-09-01,1,Brasil,2,%,5.08,1,Brasil,198209,setembro 1982,63,IPCA - Variação mensal,1982-09-01
1982-10-01,1,Brasil,2,%,4.44,1,Brasil,198210,outubro 1982,63,IPCA - Variação mensal,1982-10-01
1982-11-01,1,Brasil,2,%,5.29,1,Brasil,198211,novembro 1982,63,IPCA - Variação mensal,1982-11-01
1982-12-01,1,Brasil,2,%,7.81,1,Brasil,198212,dezembro 1982,63,IPCA - Variação mensal,1982-12-01
1983-01-01,1,Brasil,2,%,8.64,1,Brasil,198301,janeiro 1983,63,IPCA - Variação mensal,1983-01-01
1983-02-01,1,Brasil,2,%,7.86,1,Brasil,198302,fevereiro 1983,63,IPCA - Variação mensal,1983-02-01
1983-03-01,1,Brasil,2,%,7.34,1,Brasil,198303,março 1983,63,IPCA - Variação mensal,1983-03-01
1983-04-01,1,Brasil,2,%,6.58,1,Brasil,198304,abril 1983,63,IPCA - Variação mensal,1983-04-01
1983-05-01,1,Brasil,2,%,6.48,1,Brasil,198305,maio 1983,63,IPCA - Variação mensal,1983-05-01
1983-06-01,1,Brasil,2,%,9.88,1,Brasil,198306,junho 1983,63,IPCA - Variação mensal,1983-06-01
1983-07-01,1,Brasil,2,%,10.08,1,Brasil,198307,julho 1983,63,IPCA - Variação mensal,1983-07-01
1983-08-01,1,Brasil,2,%,9.11,1,Brasil,198308,agosto 1983,63,IPCA - Variação mensal,1983-08-01
1983-09-01,1,Brasil,2,%,10.3,1,Brasil,198309,setembro 1983,63,IPCA - Variação mensal,1983-09-01
1983-10-01,1,Brasil,2,%,8.87,1,Brasil,198310,outubro 1983,63,IPCA - Variação mensal,1983-10-01
1983-11-01,1,Brasil,2,%,7.38,1,Brasil,198311,novembro 1983,63,IPCA - Variação mensal,1983-11-01
1983-12-01,1,Brasil,2,%,8.68,1,Brasil,198312,dezembro 1983,63,IPCA - Variação mensal,1983-12-01
1984-01-01,1,Brasil,2,%,9.67,1,Brasil,198401,janeiro 1984,63,IPCA - Variação mensal,1984-01-01
1984-02-01,1,Brasil,2,%,9.5,1,Brasil,198402,fevereiro 1984,63,IPCA - Variação mensal,1984-02-01
1984-03-01,1,Brasil,2,%,8.94,1,Brasil,198403,março 1984,63,IPCA - Variação mensal,1984-03-01
1984-04-01,1,Brasil,2,%,9.54,1,Brasil,198404,abril 1984,63,IPCA - Variação mensal,1984-04-01
1984-05-01,1,Brasil,2,%,9.05,1,Brasil,198405,maio 1984,63,IPCA - Variação mensal,1984-05-01
1984-06-01,1,Brasil,2,%,10.08,1,Brasil,198406,junho 1984,63,IPCA - Variação mensal,1984-06-01
1984-07-01,1,Brasil,2,%,9.72,1,Brasil,198407,julho 1984,63,IPCA - Variação mensal,1984-07-01
1984-08-01,1,Brasil,2,%,9.35,1,Brasil,198408,agosto 1984,63,IPCA - Variação mensal,1984-08-01
1984-09-01,1,Brasil,2,%,11.75,1,Brasil,198409,setembro 1984,63,IPCA - Variação mensal,1984-09-01
1984-10-01,1,Brasil,2,%,10.44,1,Brasil,198410,outubro 1984,63,IPCA - Variação mensal,1984-10-01
1984-11-01,1,Brasil,2,%,10.53,1,Brasil,198411,novembro 1984,63,IPCA - Variação mensal,1984-11-01
1984-12-01,1,Brasil,2,%,11.98,1,Brasil,198412,dezembro 1984,63,IPCA - Variação mensal,1984-12-01
1985-01-01,1,Brasil,2,%,11.76,1,Brasil,198501,janeiro 1985,63,IPCA - Variação mensal,1985-01-01
1985-02-01,1,Brasil,2,%,10.87,1,Brasil,198502,fevereiro 1985,63,IPCA - Variação mensal,1985-02-01
1985-03-01,1,Brasil,2,%,10.16,1,Brasil,198503,março 1985,63,IPCA - Variação mensal,1985-03-01
1985-04-01,1,Brasil,2,%,8.2,1,Brasil,198504,abril 1985,63,IPCA - Variação mensal,1985-04-01
1985-05-01,1,Brasil,2,%,7.2,1,Brasil,198505,maio 1985,63,IPCA - Variação mensal,1985-05-01
1985-06-01,1,Brasil,2,%,8.49,1,Brasil,198506,junho 1985,63,IPCA - Variação mensal,1985-06-01
