,producao_industrial_manufatureira
2002-01-01,51.67275
2002-02-01,50.39333
2002-03-01,57.43586
2002-04-01,61.17946
2002-05-01,59.19544
2002-06-01,54.8014
2002-07-01,60.3471
2002-08-01,57.34579
2002-09-01,57.35828
2002-10-01,63.01677
2002-11-01,59.31287
2002-12-01,52.04062
2003-01-01,50.94177
2003-02-01,53.46304
2003-03-01,52.64289
2003-04-01,53.94553
2003-05-01,55.84357
2003-06-01,53.1375
2003-07-01,58.4036
2003-08-01,57.93477
2003-09-01,63.22735
2003-10-01,70.41565
2003-11-01,70.75036
2003-12-01,59.63002
2004-01-01,58.29399
2004-02-01,58.36521
2004-03-01,73.6638
2004-04-01,67.72906
2004-05-01,72.29933
2004-06-01,71.88299
2004-07-01,73.95052
2004-08-01,76.24757
2004-09-01,73.57437
2004-10-01,74.7628
2004-11-01,75.50665
2004-12-01,68.47705
2005-01-01,62.93994
2005-02-01,60.00668
2005-03-01,74.78425
2005-04-01,70.54324
2005-05-01,75.70558
2005-06-01,78.43249
2005-07-01,70.71014
2005-08-01,78.22954
2005-09-01,77.56846
2005-10-01,75.374
2005-11-01,77.61966
2005-12-01,71.74222
2006-01-01,65.65296
2006-02-01,65.66079
2006-03-01,80.47899
2006-04-01,69.26257
2006-05-01,79.85976
2006-06-01,75.84682
2006-07-01,76.99628
2006-08-01,84.00869
2006-09-01,77.30867
2006-10-01,82.09543
2006-11-01,83.58261
2006-12-01,76.86342
2007-01-01,77.31218
2007-02-01,74.777
2007-03-01,90.71622
2007-04-01,81.17795
2007-05-01,95.13486
2007-06-01,88.51613
2007-07-01,92.03845
2007-08-01,101.92149
2007-09-01,94.25227
2007-10-01,104.64009
2007-11-01,102.64003
2007-12-01,90.55916
2008-01-01,90.58176
2008-02-01,94.0859
2008-03-01,102.76917
2008-04-01,106.18928
2008-05-01,102.41345
2008-06-01,109.98015
2008-07-01,114.91752
2008-08-01,114.47705
2008-09-01,119.89758
2008-10-01,124.80523
2008-11-01,109.99715
2008-12-01,80.1489
2009-01-01,79.56226
2009-02-01,73.39855
2009-03-01,82.9053
2009-04-01,77.1245
2009-05-01,81.5387
2009-06-01,84.31838
2009-07-01,88.41354
2009-08-01,88.8041
2009-09-01,94.75114
2009-10-01,104.11892
2009-11-01,106.88909
2009-12-01,99.09491
2010-01-01,89.55269
2010-02-01,91.15047
2010-03-01,114.92197
2010-04-01,104.58762
2010-05-01,110.27518
2010-06-01,106.52333
2010-07-01,108.79987
2010-08-01,113.98497
2010-09-01,111.50404
2010-10-01,111.7104
2010-11-01,118.27779
2010-12-01,105.31038
2011-01-01,96.13331
2011-02-01,109.05375
2011-03-01,116.87522
2011-04-01,104.26819
2011-05-01,118.33425
2011-06-01,114.50638
2011-07-01,114.20104
2011-08-01,126.17652
2011-09-01,113.60477
2011-10-01,113.6144
2011-11-01,116.01764
2011-12-01,108.33606
2012-01-01,79.82627
2012-02-01,98.35686
2012-03-01,112.72594
2012-04-01,97.45486
2012-05-01,106.65488
2012-06-01,96.79065
2012-07-01,103.4912
2012-08-01,110.70677
2012-09-01,96.08473
2012-10-01,108.84672
2012-11-01,100.18814
2012-12-01,88.87298
2013-01-01,98.75866
2013-02-01,103.44228
2013-03-01,113.72664
2013-04-01,120.09982
2013-05-01,114.91146
2013-06-01,112.09691
2013-07-01,116.98051
