Date,selic,IPCA-EX2,IPCA-EX3,IPCA-MS,IPCA-MA,IPCA-EX0,IPCA-EX1,IPCA-DP,expectativas_inflacao,meta_inflacao,inflacao_efetiva,diferenca_meta_efetiva,ipca,pib,despesas_publica,capital_fixo,producao_industrial_manufatureira
2000-01-01,18.94,0.42,0.33,0.48,0.35,0.56,0.63,0.47,0.5228571428571429,6.0,5.97,0.03000000000000025,0.62,4.4,3.6,-0.3,51.67275
2000-02-01,18.87,0.17,0.21,0.44,0.35,0.45,0.32,0.32,0.531896551724138,6.0,5.97,0.03000000000000025,0.13,4.4,3.6,-0.3,51.67275
2000-03-01,18.85,-0.11,-0.03,0.37,0.35,0.05,0.16,0.21,0.593452380952381,6.0,5.97,0.03000000000000025,0.22,4.4,3.6,-0.3,51.67275
2000-04-01,18.62,0.16,0.22,0.45,0.35,0.87,0.62,0.6,0.5873626373626373,6.0,5.97,0.03000000000000025,0.42,4.0,1.3,3.9,51.67275
2000-05-01,18.51,0.12,0.16,0.35,0.35,0.2,0.19,0.18,0.562051282051282,6.0,5.97,0.03000000000000025,0.01,4.0,1.3,3.9,51.67275
2000-06-01,18.04,0.34,0.36,0.42,0.35,0.3,0.31,0.28,0.5794771241830066,6.0,5.97,0.03000000000000025,0.23,4.0,1.3,3.9,51.67275
2000-07-01,16.85,0.19,0.12,0.58,0.35,0.26,0.82,0.84,0.6250375939849624,6.0,5.97,0.03000000000000025,1.61,4.6,-2.3,6.8,51.67275
2000-08-01,16.52,0.37,0.38,0.58,0.35,0.34,0.43,0.72,0.5934328358208955,6.0,5.97,0.03000000000000025,1.31,4.6,-2.3,6.8,51.67275
2000-09-01,16.56,0.29,0.28,0.4,0.35,0.23,0.26,0.24,0.433015873015873,6.0,5.97,0.03000000000000025,0.23,4.6,-2.3,6.8,51.67275
2000-10-01,16.6,0.24,0.22,0.4,0.35,0.23,0.22,0.18,0.37394736842105264,6.0,5.97,0.03000000000000025,0.14,4.6,-2.8,8.8,51.67275
2000-11-01,16.51,0.21,0.18,0.3,0.35,0.13,0.29,0.24,0.36361702127659573,6.0,5.97,0.03000000000000025,0.32,4.6,-2.8,8.8,51.67275
2000-12-01,16.19,0.11,0.24,0.36,0.35,0.2,0.3,0.44,0.33468468468468465,6.0,5.97,0.03000000000000025,0.59,4.6,-2.8,8.8,51.67275
2001-01-01,15.49,0.33,0.35,0.41,0.35,0.37,0.52,0.47,0.3423529411764706,6.0,5.97,0.03000000000000025,0.57,3.5,1.1,10.2,51.67275
2001-02-01,15.2,0.34,0.38,0.52,0.35,0.58,0.63,0.55,0.3660869565217391,6.0,5.97,0.03000000000000025,0.46,3.5,1.1,10.2,51.67275
2001-03-01,15.39,0.31,0.32,0.57,0.29,0.28,0.27,0.36,0.3529530201342282,6.0,5.97,0.03000000000000025,0.38,3.5,1.1,10.2,51.67275
2001-04-01,16.02,0.4,0.31,0.46,0.32,0.4,0.44,0.44,0.3737142857142857,6.0,5.97,0.03000000000000025,0.58,2.3,2.2,2.0,51.67275
2001-05-01,16.43,0.49,0.42,0.6,0.48,0.38,0.5,0.51,0.4110791366906475,6.0,5.97,0.03000000000000025,0.41,2.3,2.2,2.0,51.67275
2001-06-01,17.28,0.45,0.38,0.73,0.54,0.27,0.74,0.79,0.456864406779661,6.0,5.97,0.03000000000000025,0.52,2.3,2.2,2.0,51.67275
2001-07-01,18.57,0.75,0.62,0.65,0.87,0.6,1.21,1.08,0.5108474576271187,6.0,5.97,0.03000000000000025,1.33,0.5,3.5,1.2,51.67275
2001-08-01,19.0,0.69,0.56,0.56,0.6,0.52,0.72,0.7,0.46139130434782605,6.0,5.97,0.03000000000000025,0.7,0.5,3.5,1.2,51.67275
2001-09-01,19.06,0.46,0.46,0.57,0.3,0.23,0.39,0.4,0.3913684210526316,6.0,5.97,0.03000000000000025,0.28,0.5,3.5,1.2,51.67275
2001-10-01,19.06,0.41,0.39,0.57,0.43,0.5,0.48,0.56,0.4028703703703704,6.0,5.97,0.03000000000000025,0.83,-0.5,3.6,-7.4,51.67275
2001-11-01,19.05,0.75,0.61,0.77,0.54,0.6,0.67,0.63,0.42941634241245136,6.0,5.97,0.03000000000000025,0.71,-0.5,3.6,-7.4,51.67275
2001-12-01,19.05,0.86,0.92,0.78,0.57,0.77,0.77,0.72,0.4199280575539568,6.0,5.97,0.03000000000000025,0.65,-0.5,3.6,-7.4,51.67275
2002-01-01,19.05,0.44,0.44,0.52,0.48,0.49,0.74,0.57,0.38012987012987015,3.5,12.53,-9.03,0.52,0.5,4.3,-7.9,51.67275
2002-02-01,18.97,0.42,0.46,0.54,0.44,0.83,0.73,0.52,0.3719548872180451,3.5,12.53,-9.03,0.36,0.5,4.3,-7.9,50.39333
2002-03-01,18.72,0.51,0.54,0.58,0.47,0.43,0.52,0.53,0.3777777777777778,3.5,12.53,-9.03,0.6,0.5,4.3,-7.9,57.43586
2002-04-01,18.38,0.5,0.53,0.56,0.49,0.51,0.5,0.52,0.39506493506493506,3.5,12.53,-9.03,0.8,2.3,4.1,-4.3,61.17946
2002-05-01,18.37,0.38,0.53,0.51,0.35,0.52,0.47,0.4,0.37224489795918364,3.5,12.53,-9.03,0.21,2.3,4.1,-4.3,59.19544
2002-06-01,18.1,0.29,0.31,0.4,0.2,0.16,0.37,0.38,0.3768214285714286,3.5,12.53,-9.03,0.42,2.3,4.1,-4.3,54.8014
2002-07-01,18.17,0.69,0.56,0.51,0.58,0.49,1.13,0.86,0.4108695652173913,3.5,12.53,-9.03,1.19,4.2,4.2,-0.5,60.3471
2002-08-01,17.84,0.8,0.48,0.65,0.57,0.4,0.73,0.7,0.4062012987012987,3.5,12.53,-9.03,0.65,4.2,4.2,-0.5,57.34579
2002-09-01,17.89,0.88,0.69,0.78,0.57,0.61,0.67,0.66,0.44143344709897614,3.5,12.53,-9.03,0.72,4.2,4.2,-0.5,57.35828
2002-10-01,19.59,1.05,0.73,0.78,0.87,0.74,0.95,0.97,0.5540372670807454,3.5,12.53,-9.03,1.31,5.2,2.8,7.6,63.01677
2002-11-01,21.25,1.7,1.21,1.32,1.7,1.17,1.57,1.95,0.8191785714285714,3.5,12.53,-9.03,3.02,5.2,2.8,7.6,59.31287
2002-12-01,23.03,2.01,1.84,1.36,1.48,1.66,1.65,1.75,0.9335374149659863,3.5,12.53,-9.03,2.1,5.2,2.8,7.6,52.04062
2003-01-01,25.06,1.5,1.46,1.32,1.69,1.38,1.71,1.84,0.9143506493506494,3.254,9.3,-6.046000000000001,2.25,2.7,-0.8,3.1,50.94177
2003-02-01,25.68,0.78,0.62,0.93,1.0,0.99,1.47,1.35,0.8401785714285714,3.254,9.3,-6.046000000000001,1.57,2.7,-0.8,3.1,53.46304
2003-03-01,26.32,1.38,1.36,1.23,0.97,1.13,1.22,1.2,0.7629699248120301,3.254,9.3,-6.046000000000001,1.23,2.7,-0.8,3.1,52.64289
2003-04-01,26.32,1.01,0.99,1.1,0.86,0.81,1.06,0.98,0.7081071428571429,3.254,9.3,-6.046000000000001,0.97,0.8,0.3,-6.8,53.94553
2003-05-01,26.31,0.89,0.9,1.0,0.64,0.56,0.99,0.85,0.6538775510204082,3.254,9.3,-6.046000000000001,0.61,0.8,0.3,-6.8,55.84357
2003-06-01,26.09,0.77,0.81,0.87,0.39,0.52,0.47,0.4,0.6255,3.254,9.3,-6.046000000000001,-0.15,0.8,0.3,-6.8,53.1375
2003-07-01,25.36,0.31,0.4,0.65,0.4,0.37,0.75,0.47,0.565527950310559,3.254,9.3,-6.046000000000001,0.2,0.6,2.0,-6.9,58.4036
2003-08-01,23.5,0.23,0.34,0.58,0.35,0.37,0.49,0.44,0.5098639455782313,3.254,9.3,-6.046000000000001,0.34,0.6,2.0,-6.9,57.93477
2003-09-01,21.02,0.46,0.47,0.86,0.6,0.37,0.67,0.71,0.5011038961038962,3.254,9.3,-6.046000000000001,0.78,0.6,2.0,-6.9,63.22735
2003-10-01,19.54,0.5,0.57,0.77,0.29,0.37,0.34,0.38,0.4992207792207792,3.254,9.3,-6.046000000000001,0.29,0.6,4.7,-4.9,70.41565
2003-11-01,18.31,0.41,0.47,0.56,0.31,0.38,0.45,0.47,0.4815,3.254,9.3,-6.046000000000001,0.34,0.6,4.7,-4.9,70.75036
2003-12-01,16.91,0.6,0.61,0.72,0.54,0.63,0.6,0.58,0.4784285714285715,3.254,9.3,-6.046000000000001,0.52,0.6,4.7,-4.9,59.63002
2004-01-01,16.32,0.62,0.6,0.73,0.63,0.64,0.7,0.7,0.4795,3.7,7.6,-3.8999999999999995,0.76,3.9,3.6,0.9,58.29399
2004-02-01,16.3,0.24,0.25,0.48,0.28,1.0,0.77,0.62,0.4693253968253968,3.7,7.6,-3.8999999999999995,0.61,3.9,3.6,0.9,58.36521
2004-03-01,16.19,0.64,0.58,0.76,0.65,0.85,0.8,0.71,0.439472049689441,3.7,7.6,-3.8999999999999995,0.47,3.9,3.6,0.9,73.6638
2004-04-01,15.96,0.62,0.82,0.57,0.45,0.72,0.59,0.52,0.4338571428571429,3.7,7.6,-3.8999999999999995,0.37,6.3,6.5,11.9,67.72906
2004-05-01,15.77,0.76,0.86,0.59,0.43,0.7,0.55,0.53,0.4458163265306122,3.7,7.6,-3.8999999999999995,0.51,6.3,6.5,11.9,72.29933
2004-06-01,15.8,0.62,0.6,0.6,0.48,0.53,0.49,0.6,0.49377551020408167,3.7,7.6,-3.8999999999999995,0.71,6.3,6.5,11.9,71.88299
2004-07-01,15.77,0.57,0.53,0.55,0.59,0.46,0.85,0.73,0.5182467532467533,3.7,7.6,-3.8999999999999995,0.91,6.6,4.3,14.2,73.95052
2004-08-01,15.86,0.46,0.49,0.55,0.53,0.56,0.52,0.61,0.5051623376623376,3.7,7.6,-3.8999999999999995,0.69,6.6,4.3,14.2,76.24757
